"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2022","24.953","24.863","24.977","24.785","-","0.20%"
"Mar 22, 2022","24.904","25.410","25.590","24.695","45.76K","-1.62%"
"Mar 21, 2022","25.313","25.150","25.520","25.050","34.84K","1.06%"
"Mar 20, 2022","25.047","25.090","25.293","25.047","-","-0.16%"
"Mar 18, 2022","25.087","25.595","25.640","24.980","38.06K","-2.07%"
"Mar 17, 2022","25.616","25.240","25.750","25.165","40.14K","3.67%"
"Mar 16, 2022","24.710","25.115","25.250","24.550","46.30K","-1.78%"
"Mar 15, 2022","25.158","25.260","25.315","24.750","47.79K","-0.55%"
"Mar 14, 2022","25.298","26.280","26.290","25.160","52.36K","-2.32%"
"Mar 13, 2022","25.900","26.145","26.282","25.855","-","-0.99%"
"Mar 11, 2022","26.160","26.255","26.350","25.695","51.55K","-0.37%"
"Mar 10, 2022","26.256","26.060","26.425","25.600","55.85K","1.70%"
"Mar 09, 2022","25.816","26.925","27.390","25.730","87.11K","-4.01%"
"Mar 08, 2022","26.895","25.805","27.495","25.550","127.21K","4.57%"
"Mar 07, 2022","25.720","26.025","26.370","25.465","81.50K","-1.96%"
"Mar 06, 2022","26.235","25.863","26.275","25.863","-","1.73%"
"Mar 04, 2022","25.789","25.285","25.920","25.155","70.86K","2.29%"
"Mar 03, 2022","25.212","25.450","25.665","25.075","57.47K","0.09%"
"Mar 02, 2022","25.190","25.505","25.545","24.960","69.47K","-1.37%"
"Mar 01, 2022","25.541","24.455","25.650","24.345","68.56K","4.82%"
"Feb 28, 2022","24.366","24.620","24.880","24.155","55.28K","-0.38%"
"Feb 27, 2022","24.460","24.195","24.795","24.195","-","1.84%"
"Feb 25, 2022","24.017","24.330","24.550","23.920","67.32K","-2.80%"
"Feb 24, 2022","24.710","24.650","25.705","23.880","90.87K","0.46%"
"Feb 23, 2022","24.598","24.200","24.660","24.095","37.69K","0.99%"
"Feb 22, 2022","24.356","24.095","24.425","23.755","42.99K","1.32%"
"Feb 21, 2022","24.038","24.032","24.207","23.707","-","0.02%"
"Feb 20, 2022","24.032","23.940","24.090","23.920","-","-0.02%"
"Feb 18, 2022","24.038","23.900","24.165","23.745","-","0.48%"
"Feb 17, 2022","23.922","23.675","23.975","23.480","-","1.13%"
"Feb 16, 2022","23.654","23.450","23.710","23.340","-","1.13%"
"Feb 15, 2022","23.390","23.935","24.060","23.125","-","-2.12%"
"Feb 14, 2022","23.897","23.650","24.015","23.605","-","1.04%"
"Feb 13, 2022","23.650","23.617","23.655","23.555","-","0.98%"
"Feb 11, 2022","23.420","23.245","23.755","22.910","-","-0.63%"
"Feb 10, 2022","23.569","23.325","23.780","23.195","-","0.78%"
"Feb 09, 2022","23.386","23.230","23.405","23.150","-","0.62%"
"Feb 08, 2022","23.243","23.070","23.310","22.820","15.28K","0.54%"
"Feb 07, 2022","23.119","22.580","23.140","22.580","-","2.33%"
"Feb 06, 2022","22.593","22.510","22.605","22.500","-","0.34%"
"Feb 04, 2022","22.517","22.460","22.725","22.140","-","0.45%"
"Feb 03, 2022","22.417","22.695","22.695","22.050","-","-1.46%"
"Feb 02, 2022","22.748","22.675","22.910","22.520","-","0.50%"
"Feb 01, 2022","22.635","22.515","23.090","22.450","-","0.90%"
"Jan 31, 2022","22.432","22.505","22.695","22.295","-","0.08%"
"Jan 30, 2022","22.413","22.367","22.475","22.367","-","0.33%"
"Jan 28, 2022","22.340","22.840","22.850","22.200","-","-1.65%"
"Jan 27, 2022","22.714","23.590","23.655","22.625","-","-4.75%"
"Jan 26, 2022","23.846","23.895","24.040","23.515","-","-0.37%"
"Jan 25, 2022","23.934","24.065","24.065","23.685","-","0.41%"
"Jan 24, 2022","23.837","24.350","24.380","23.650","-","-2.07%"
"Jan 23, 2022","24.340","24.330","24.360","24.235","-","-0.07%"
"Jan 21, 2022","24.357","24.530","24.655","24.260","-","-1.60%"
"Jan 20, 2022","24.752","24.195","24.790","24.170","-","2.00%"
"Jan 19, 2022","24.267","23.545","24.295","23.475","-","3.14%"
"Jan 18, 2022","23.528","23.035","23.710","22.870","-","2.10%"
"Jan 17, 2022","23.043","22.970","23.133","22.855","-","0.33%"
"Jan 16, 2022","22.968","22.942","22.988","22.935","-","0.06%"
"Jan 14, 2022","22.954","23.130","23.370","22.885","-","-1.06%"
"Jan 13, 2022","23.199","23.205","23.335","23.065","-","-0.19%"
"Jan 12, 2022","23.243","22.850","23.285","22.735","3.75K","1.73%"
"Jan 11, 2022","22.848","22.525","22.890","22.525","-","1.56%"
"Jan 10, 2022","22.497","22.380","22.570","22.275","-","0.51%"
"Jan 09, 2022","22.383","22.387","22.420","22.328","-","-0.27%"
"Jan 07, 2022","22.443","22.225","22.485","21.985","-","1.00%"
"Jan 06, 2022","22.221","22.845","22.875","22.030","-","-4.23%"
"Jan 05, 2022","23.202","23.095","23.320","22.800","-","0.50%"
"Jan 04, 2022","23.086","22.960","23.150","22.700","-","1.08%"
"Jan 03, 2022","22.840","23.395","23.460","22.740","-","-2.09%"
"Jan 02, 2022","23.328","23.375","23.435","23.323","-","-0.23%"
"Dec 31, 2021","23.381","23.100","23.410","23.100","-","1.26%"
"Dec 30, 2021","23.091","22.905","23.155","22.655","-","1.06%"
"Dec 29, 2021","22.848","23.005","23.005","22.635","0.04K","-1.14%"
"Dec 28, 2021","23.111","23.055","23.295","23.055","0.15K","0.57%"
"Dec 27, 2021","22.979","22.680","22.680","22.680","0.00K","0.44%"
"Dec 26, 2021","22.878","22.933","22.940","22.810","-","-0.14%"
"Dec 24, 2021","22.910","22.910","22.910","22.910","-","-0.13%"
"Dec 23, 2021","22.940","22.815","22.965","22.680","33.91K","0.65%"
"Dec 22, 2021","22.792","22.465","22.705","22.465","0.19K","1.29%"
"Dec 21, 2021","22.502","22.225","22.740","22.225","0.19K","1.02%"
"Dec 20, 2021","22.275","22.300","22.370","22.290","0.09K","-0.39%"
"Dec 19, 2021","22.363","22.370","22.410","22.352","-","-0.64%"
"Dec 17, 2021","22.507","22.450","22.485","22.450","0.03K","0.23%"
"Dec 16, 2021","22.455","22.135","22.400","22.120","0.09K","4.40%"
"Dec 15, 2021","21.508","21.500","21.640","21.500","0.01K","-1.73%"
"Dec 14, 2021","21.887","22.250","22.250","21.660","0.00K","-1.81%"
"Dec 13, 2021","22.290","22.245","22.260","22.130","0.01K","0.25%"
"Dec 12, 2021","22.235","22.210","22.262","22.192","-","0.34%"
"Dec 10, 2021","22.160","21.885","22.165","21.800","0.02K","0.85%"
"Dec 09, 2021","21.974","22.280","22.285","21.890","0.03K","-1.86%"
"Dec 08, 2021","22.390","22.430","22.445","22.310","0.27K","-0.43%"
"Dec 07, 2021","22.487","22.385","22.560","22.375","0.05K","1.17%"
"Dec 06, 2021","22.228","22.490","22.490","22.100","0.09K","-1.65%"
"Dec 05, 2021","22.602","22.562","22.628","22.508","-","0.70%"
"Dec 03, 2021","22.445","22.410","22.470","22.040","0.20K","0.74%"
"Dec 02, 2021","22.280","22.295","22.400","22.240","0.13K","-0.09%"
"Dec 01, 2021","22.299","22.770","22.995","22.155","0.49K","-2.05%"
"Nov 30, 2021","22.765","22.885","23.260","22.705","2.51K","-0.15%"
"Nov 29, 2021","22.799","23.135","23.415","22.730","10.39K","-3.35%"
"Nov 28, 2021","23.590","23.415","23.595","23.337","-","2.09%"
"Nov 26, 2021","23.107","23.580","23.735","22.915","61.28K","-2.01%"
"Nov 25, 2021","23.582","23.585","23.733","23.562","-","0.37%"
"Nov 24, 2021","23.496","23.640","23.695","23.400","54.62K","0.26%"
"Nov 23, 2021","23.435","24.210","24.340","23.280","93.87K","-3.55%"
"Nov 22, 2021","24.297","24.670","24.955","24.140","78.54K","-1.43%"
"Nov 21, 2021","24.650","24.655","24.688","24.555","-","-0.53%"
"Nov 19, 2021","24.781","24.850","25.040","24.610","67.98K","-0.48%"
"Nov 18, 2021","24.900","25.150","25.230","24.730","63.62K","-1.06%"
"Nov 17, 2021","25.167","24.860","25.285","24.850","54.35K","0.89%"
"Nov 16, 2021","24.944","25.135","25.490","24.825","77.00K","-0.64%"
"Nov 15, 2021","25.105","25.425","25.465","24.970","68.48K","-1.27%"
"Nov 14, 2021","25.427","25.413","25.462","25.390","-","0.32%"
"Nov 12, 2021","25.346","25.350","25.470","24.925","66.39K","0.18%"
"Nov 11, 2021","25.301","24.710","25.365","24.645","82.02K","2.14%"
"Nov 10, 2021","24.772","24.375","25.220","24.040","131.56K","1.87%"
"Nov 09, 2021","24.318","24.550","24.565","24.090","65.11K","-0.91%"
"Nov 08, 2021","24.542","24.285","24.590","24.130","67.62K","1.35%"
"Nov 07, 2021","24.215","24.212","24.277","24.210","-","0.24%"
"Nov 05, 2021","24.157","23.870","24.255","23.665","73.24K","1.03%"
"Nov 04, 2021","23.911","23.530","24.115","23.485","68.46K","2.93%"
"Nov 03, 2021","23.231","23.570","23.665","23.045","67.16K","-1.17%"
"Nov 02, 2021","23.507","24.130","24.140","23.430","63.00K","-2.35%"
"Nov 01, 2021","24.073","23.985","24.175","23.810","37.06K","0.98%"
"Oct 31, 2021","23.840","23.950","23.983","23.808","-","-0.46%"
"Oct 29, 2021","23.949","24.135","24.140","23.705","57.80K","-0.71%"
"Oct 28, 2021","24.120","24.130","24.310","24.020","45.96K","-0.29%"
"Oct 27, 2021","24.191","24.220","24.330","23.905","48.09K","0.43%"
"Oct 26, 2021","24.088","24.650","24.655","23.925","61.76K","-2.05%"
"Oct 25, 2021","24.592","24.395","24.695","24.365","44.83K","0.57%"
"Oct 24, 2021","24.453","24.380","24.470","24.358","-","0.02%"
"Oct 22, 2021","24.449","24.220","24.920","24.185","83.28K","1.15%"
"Oct 21, 2021","24.170","24.370","24.550","24.070","58.68K","-1.12%"
"Oct 20, 2021","24.445","23.710","24.495","23.615","73.13K","2.35%"
"Oct 19, 2021","23.883","23.250","24.180","23.220","79.07K","2.66%"
"Oct 18, 2021","23.264","23.380","23.495","23.035","47.03K","-0.53%"
"Oct 17, 2021","23.387","23.335","23.427","23.335","-","0.16%"
"Oct 15, 2021","23.349","23.565","23.645","23.100","52.25K","-0.55%"
"Oct 14, 2021","23.477","23.100","23.625","22.925","54.28K","1.32%"
"Oct 13, 2021","23.170","22.570","23.285","22.480","71.90K","2.91%"
"Oct 12, 2021","22.514","22.610","22.790","22.325","42.93K","-0.67%"
"Oct 11, 2021","22.665","22.685","22.830","22.495","29.93K","0.21%"
"Oct 10, 2021","22.617","22.680","22.738","22.575","-","-0.39%"
"Oct 08, 2021","22.705","22.610","23.220","22.435","69.58K","0.21%"
"Oct 07, 2021","22.658","22.640","22.840","22.385","41.56K","0.56%"
"Oct 06, 2021","22.532","22.635","22.700","22.185","38.89K","-0.34%"
"Oct 05, 2021","22.608","22.725","22.730","22.380","27.04K","-0.16%"
"Oct 04, 2021","22.644","22.600","22.805","22.290","35.18K","-0.17%"
"Oct 03, 2021","22.683","22.560","22.790","22.540","-","0.65%"
"Oct 01, 2021","22.536","22.185","22.600","21.990","43.51K","2.22%"
"Sep 30, 2021","22.047","21.515","22.225","21.460","66.12K","2.62%"
"Sep 29, 2021","21.485","22.475","22.565","21.410","80.16K","-4.37%"
"Sep 28, 2021","22.467","22.625","22.680","22.080","55.49K","-1.00%"
"Sep 27, 2021","22.694","22.395","22.865","22.390","36.11K","1.25%"
"Sep 26, 2021","22.413","22.405","22.445","22.395","-","-0.05%"
"Sep 24, 2021","22.425","22.530","22.790","22.090","41.67K","-1.12%"
"Sep 23, 2021","22.679","22.695","22.880","22.465","43.74K","-1.00%"
"Sep 22, 2021","22.907","22.485","23.150","22.455","51.99K","1.31%"
"Sep 21, 2021","22.611","22.265","22.720","22.210","41.11K","1.83%"
"Sep 20, 2021","22.204","22.330","22.500","22.025","50.98K","-0.69%"
"Sep 19, 2021","22.358","22.302","22.392","22.142","-","0.09%"
"Sep 17, 2021","22.337","22.910","23.130","22.305","66.39K","-2.00%"
"Sep 16, 2021","22.794","23.865","24.000","22.585","90.20K","-4.23%"
"Sep 15, 2021","23.801","23.865","23.940","23.670","32.69K","-0.35%"
