"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2022","117.10","114.59","117.69","114.46","-","1.40%"
"Mar 22, 2022","115.48","117.04","119.48","112.64","204.66K","-0.12%"
"Mar 21, 2022","115.62","107.50","116.80","107.06","196.49K","7.12%"
"Mar 18, 2022","107.93","106.80","109.59","105.78","168.91K","1.21%"
"Mar 17, 2022","106.64","98.61","107.50","97.75","200.95K","8.79%"
"Mar 16, 2022","98.02","99.14","103.70","96.93","246.82K","-1.89%"
"Mar 15, 2022","99.91","105.34","105.71","97.44","318.12K","-6.54%"
"Mar 14, 2022","106.90","113.15","113.15","103.49","265.91K","-5.12%"
"Mar 11, 2022","112.67","110.26","113.91","107.13","287.39K","3.05%"
"Mar 10, 2022","109.33","112.65","118.36","109.00","352.34K","-1.63%"
"Mar 09, 2022","111.14","130.28","131.64","105.60","521.58K","-13.16%"
"Mar 08, 2022","127.98","124.56","133.15","121.31","469.99K","3.87%"
"Mar 07, 2022","123.21","122.79","139.13","119.04","419.93K","4.32%"
"Mar 04, 2022","118.11","114.23","118.98","109.62","334.41K","6.93%"
"Mar 03, 2022","110.46","115.27","119.84","109.40","452.52K","-2.19%"
"Mar 02, 2022","112.93","107.34","115.11","106.83","490.57K","7.58%"
"Mar 01, 2022","104.97","98.43","107.67","98.30","492.51K","3.94%"
"Feb 28, 2022","100.99","101.98","105.07","99.64","22.96K","3.12%"
"Feb 25, 2022","97.93","100.69","101.99","96.00","68.98K","-1.16%"
"Feb 24, 2022","99.08","98.08","105.79","97.56","167.79K","2.31%"
"Feb 23, 2022","96.84","96.65","98.71","95.81","238.63K","0.00%"
"Feb 22, 2022","96.84","96.55","99.50","95.80","316.38K","1.52%"
"Feb 21, 2022","95.39","94.29","97.40","92.57","217.04K","1.98%"
"Feb 18, 2022","93.54","92.73","94.15","90.12","348.35K","0.61%"
"Feb 17, 2022","92.97","92.20","94.50","92.14","347.79K","-1.94%"
"Feb 16, 2022","94.81","93.49","96.07","91.11","393.79K","1.64%"
"Feb 15, 2022","93.28","95.81","96.26","92.06","378.25K","-3.32%"
"Feb 14, 2022","96.48","95.20","96.78","93.44","373.09K","2.16%"
"Feb 11, 2022","94.44","91.17","95.66","90.51","452.11K","3.31%"
"Feb 10, 2022","91.41","91.75","93.10","90.88","369.01K","-0.15%"
"Feb 09, 2022","91.55","91.08","92.09","90.05","294.00K","0.85%"
